Companies	Details
Company	"HBL Growth Fund ""A"""
Address	"HBL Asset Management Limited , 7th Floor, Emerald Tower,G-19 Block-5, Main Clifton Road,Clifton,Karachi"
Phone	021-111-425-262
Phone 2	
Fax	021-35168455
Date of Listing	18/05/1980
Email	info@hblasset.com
URL	www.hblasset.com
Registrar	THK Associates (Private) Limited
	
Representative	Mr. Farid Ahmed Khan
Designation	Chief Executive Officer
Company	"HBL Investment Fund ""A"""
Address	"HBL Asset Management Limited. , 7th Floor, Emerald Tower,G-19 Block-5, Main Clifton Road,Clifton,Karachi"
Phone	021-111-425-262
Phone 2	
Fax	021-35168455
Date of Listing	21/06/2004
Email	info@hblasset.com
URL	www.hblasset.com
Registrar	THK Associates (Private) Limited
	
Representative	Syed Ali Waqar
Designation	Chief Exectutive
Company	Investec Mutual Fund Limited
Address	"406, 4th Floor, Trade Centre , I.I. Chundrigar Road,Karachi"
Phone	021-32211325-26
Phone 2	
Fax	021-32211337
Date of Listing	30/06/1994
Email	investec786@hotmail.com
URL	
Registrar	
	
Representative	Mr. Mohammad Younus
Designation	Chief Executive
Company	Prudential Stocks Fund Limited
Address	"Office No.A-601-2, Lakson Square, Building No.3 , Sarwar Shaheed Road,Karachi"
Phone	021-35643275-78
Phone 2	
Fax	35643283
Date of Listing	17/12/1991
Email	stocksfund@hotmail.com
URL	
Registrar	
	
Representative	Mr. Asad Ahmed
Designation	Chief Executive
Company	Tri-Star Mutual Fund Limited
Address	"6th Floor, Image Tower, A/33, Central Commercial Area , Block-7/8, Karachi Co-operative Housing Societies Union,Karachi"
Phone	021-32571598-32570418
Phone 2	
Fax	021-32563872
Date of Listing	08/03/1994
Email	
URL	
Registrar	Hameed Majeed Associates (Pvt.) Ltd
	
Representative	Mr. Aizid Razzaq Gill
Designation	Chief Executive Officer
Company	Allied Bank Limited
Address	"ABL Head Office Building , 3-4, Tipu Block, New Garden Town,Lahore"
Phone	042-35880043
Phone 2	111-225-225
Fax	042-35909146
Date of Listing	17/08/2005
Email	info@abl.com
URL	www.abl.com
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Atif R. Bokhari
Designation	President & Chief Executive
Company	Askari Bank Limited
Address	"4th Floor, NPT Building , F-8, Markaz,Islamabad"
Phone	051-2254222
Phone 2	
Fax	051-2857448
Date of Listing	13/04/1992
Email	ir@askaribank.com.pk
URL	www.askaribank.com
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Atif Aslam Bajwa
Designation	Chief Executive Officer
Company	Bank Alfalah Limited
Address	"B.A. Building , I.I. Chundrigar Road,Karachi"
Phone	021-111-777-786
Phone 2	021-32414030-39
Fax	021-32417006-32434181
Date of Listing	05/07/2004
Email	
URL	www.bankalfalah.com
Registrar	F.D. Registrar Services (SMC-Pvt.) Ltd.
	
Representative	Mr. Mansoor Ali Khan
Designation	Chief Executive
Company	Bank AL Habib Limited
Address	"2nd Floor, Mackinnons Building , I.I Chundrigar Road,Karachi"
Phone	"021-32412986, 111-786-110"
Phone 2	021-32412421
Fax	021-32401171-32419752
Date of Listing	27/01/1992
Email	info@bankalhabib.com
URL	www.bankalhabib.com
Registrar	CDC Share Registrar Services Limited
	
Representative	Syed Amir Ali
Designation	President & Chief Executive
Company	BankIslami Pakistan Limited
Address	"11th Floor, Executive Tower, Dolmen City , Marine Drive, Block-4, Clifton,Karachi"
Phone	021-35839906
Phone 2	021-111-247-111
Fax	021-35378373
Date of Listing	17/04/2006
Email	info@bankislami.com.pk
URL	www.bankislami.com.pk
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Ihsan Ullah Ihsan
Designation	Acting Managing Director
Company	The Bank of Khyber
Address	"24-The Mall , Peshawar Cantt.,Peshawar"
Phone	091-111-959-595
Phone 2	
Fax	091-5278146
Date of Listing	13/03/2006
Email	zahid.sahibzada@bok.com.pk
URL	www.bok.com.pk
Registrar	THK Associates (Private) Limited
	
Representative	Mr. Zafar Masud
Designation	President & Cheif Executive Officer
Company	The Bank of Punjab
Address	"BOP Tower, 10-B, Block-E-II, , Main Boulevard, Gulberg-III,Lahore"
Phone	042-35783843-35783700-10
Phone 2	042-111-200-100
Fax	042-35783975
Date of Listing	17/07/1991
Email	corporate.affairs@bop.com.pk
URL	www.bop.com.pk
Registrar	Corplink (Pvt) Limited
	
Representative	Mr. Yousaf Hussain
Designation	President & Chief Executive
Company	Faysal Bank Limited
Address	"Faysal House, 1st Floor, ST-2 Commercial Lane , Opp: Regent Plaza Hotel, Main Shahrah-e-Faisal,Karachi"
Phone	021-32795260
Phone 2	021-111-747-747
Fax	021-32795226
Date of Listing	10/01/1995
Email	aurangzebamin@faysalbank.com
URL	www.faysalbank.com
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Muhammad Aurangzeb
Designation	President & Chief Executive Officer
Company	Habib Bank Limited
Address	"F-14, Block-5, , Clifton,Karachi"
Phone	021-32418000-50 Lines
Phone 2	
Fax	
Date of Listing	24/09/2007
Email	customer.complaints@hbl.com
URL	www.hbl.com
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Mohsin Ali Nathani
Designation	President & Chief Executive
Company	Habib Metropolitan Bank Limited
Address	"Spencer's Building , I. I. Chundrigar Road,Karachi"
Phone	021-32636740 (20 Lines)
Phone 2	021-111-14-14-14
Fax	021-32630404-5
Date of Listing	17/12/1992
Email	info@habibmetro.com
URL	www.habibmetro.com
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Basir Shamsie
Designation	President & Chief Executive Officer
Company	JS Bank Limited
Address	"Shaheen Commercial Complex , Dr. Ziauddin Ahmed Road,Karachi"
Phone	021-32272569-80
Phone 2	021-111-572-265
Fax	021-32631803
Date of Listing	12/03/2007
Email	
URL	www.jsbl.com
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Shoaib Mumtaz
Designation	Acting - President & Chief Executive
Company	MCB Bank Limited
Address	"6th Floor, MCB House , 15 - Main Gulberg, Jail Road,Lahore"
Phone	042-111-000-111
Phone 2	(042) 36041998-9
Fax	42-35776616
Date of Listing	10/06/1992
Email	info@mcb.com.pk
URL	www.mcb.com.pk
Registrar	THK Associates (Private) Limited
	
Representative	Mr. Irfan Siddiqui
Designation	President & Chief Executive
Company	Meezan Bank Limited
Address	"Meezan House , C-25, Estate Avenue, S.I.T.E.,Karachi"
Phone	021-38103500-38103592
Phone 2	021-111-331-331
Fax	021-36406049-36406056
Date of Listing	21/08/2000
Email	info@meezanbank.com
URL	www.meezanbank.com
Registrar	THK Associates (Private) Limited
	
Representative	Mr. Arif Usmani
Designation	Acting President / Chief Executive Officer
Company	National Bank of Pakistan
Address	"NBP Building, 2nd Floor, Head Office , I. I. Chundrigar Road,Karachi"
Phone	021-99220100-25
Phone 2	021-99220224
Fax	021-99212239-99220239
Date of Listing	18/02/2002
Email	
URL	www.nbp.com.pk
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Shahid Sattar
Designation	President & Chief Executive Officer
Company	Samba Bank Limited
Address	"Ground Floor, Arif Habib Centre, , 23, M. T. Khan Road,,Karachi"
Phone	
Phone 2	
Fax	
Date of Listing	04/08/2003
Email	csbm@scibl.com
URL	www.samba.com.pk
Registrar	FAMCO Associates (Pvt) Limited
	
Representative	Mr. Rehan Shaikh
Designation	Chief Executive Officer
Company	Standard Chartered Bank (Pakistan) Limited
Address	"Main Branch , I.I. Chundrigar Road,Karachi"
Phone	021-32450000
Phone 2	021-111-002-002
Fax	021-32414914 - 9210061
Date of Listing	13/04/2007
Email	
URL	www.sc.com/pk
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Shahram Raza Bakhtiari
Designation	President & Chief Executive Officer
Company	Silkbank Limited
Address	"2nd Floor, No. 13 Com 3 Mall Bilawal Chorangi, , Near BBQ Tonight, Block 6, KDA Scheme 5, Clifton,,Karachi"
Phone	021-111-007-455
Phone 2	
Fax	
Date of Listing	13/06/1995
Email	companysecretary@silkbank.com.pk
URL	www.silkbank.com.pk
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Muhammad Zahir Esmail
Designation	President & Chief Executive Officer
Company	Summit Bank Limited
Address	"Level-11, Plot No.G-2, Block-2 , Clifton,Karachi"
Phone	021-32410851
Phone 2	021-32473205
Fax	021-32472193
Date of Listing	11/02/2008
Email	companysecretary@summitbank.com.pk
URL	www.summitbank.com.pk
Registrar	THK Associates (Private) Limited
	
Representative	Mr. Muhtashim Ahmad Ashai
Designation	President & Chief Executive Officer
Company	Soneri Bank Limited
Address	"10th Floor, PNSC Building , M.T. Khan Road,Karachi"
Phone	021-32444401-5
Phone 2	111-766-374
Fax	021-32439561-32446661
Date of Listing	01/06/1992
Email	cs@soneribank.com
URL	www.soneribank.com
Registrar	THK Associates (Private) Limited
	
Representative	Mr. Shahzad G. Dada
Designation	President & Chief Executive
Company	United Bank Limited
Address	"UBL Head Office, 2nd Floor , I.I. Chundrigar Road,Karachi"
Phone	021-111-825-111
Phone 2	021-990332483-2103
Fax	021-32411749
Date of Listing	25/07/2005
Email	company.secretary@ubl.com.pk
URL	www.ubldigital.com
Registrar	THK Associates (Private) Limited
	
Representative	Mr. Zia Akbar Ansari
Designation	Chief Executive
Company	Ados Pakistan Limited
Address	"2nd Floor, FJ-Plaza, Block-2, College Road , F-7 Markaz,Islamabad"
Phone	051-2651365
Phone 2	
Fax	051-2651702
Date of Listing	24/08/1994
Email	bokhari_a@akbarassociates.com
URL	www.ados.com.pk
Registrar	M/s. JWAFFS Registrar Services (Pvt.) Limited
	
Representative	Mr. Hussain Iqbal Agha
Designation	Chief Executive Officer
Company	Agha Steel Industries Limited
Address	"Plot No. NWIZ/1/P-133 (SP-6) D-2, , Port Qasim,,Karachi"
Phone	021-34154245
Phone 2	
Fax	021-34154227
Date of Listing	02/11/2020
Email	info@aghasteel.com
URL	www.aghasteel.com
Registrar	CDC Share Registrar Services Limited
	
Representative	Dr. Munir Ahmed
Designation	Chief Executive Officer
Company	Aisha Steel Mills Limited
Address	"Arif Habib Centre, 1st Floor , 23, M.T. Khan Road,Karachi"
Phone	021-32468317
Phone 2	021-32468319
Fax	021-3246 8316
Date of Listing	06/08/2012
Email	info@aishasteel.com
URL	www.aishasteel.com
	
Representative	Mr. Shayan Akberali
Designation	Chief Executive Officer
Company	Amreli Steels Limited
Address	"A/18, S.I.T.E. , ,Karachi"
Phone	021-32587232-9
Phone 2	021-111-267-354
Fax	"021-32587240, 38798328"
Date of Listing	01/12/2015
Email	investor-relations@amrelisteels.com
URL	www.amrelisteels.com
Registrar	THK Associates (Private) Limited
	
Representative	Mr. Nisar Ahmed Mirani
Designation	Chief Executive Officer
Company	Bolan Castings Limited
Address	"Main RCD Highway, Hub Chawki , District Lasbela,Baluchistan"
Phone	"0853-363296, 0853-364033"
Phone 2	
Fax	853-363292
Date of Listing	30/06/1985
Email	bclhub@bclpk.com
URL	www.bolancastings.com
Registrar	CDC Share Registrar Services Limited
	
Representative	Ch. Muhammad Shafique
Designation	Chief Executive
Company	Beco Steel Limited
Address	"Florets Luxury Apartments, G-7, Ground Floor, , 127-Ahmad Block, Garden Town,,Lahore"
Phone	042-32297865
Phone 2	
Fax	
Date of Listing	14/11/1989
Email	"secretary@becosteel.com, info@becosteel.com"
URL	www.becosteel.com
Registrar	Hameed Majeed Associates (Pvt.) Ltd
	
Representative	Mr. Ahsan M. Saleem
Designation	Chief Executive & Managing Director
Company	Crescent Steel & Allied Products Limited
Address	"9th Floor, SIDCO Avenue Centre , 264 R.A. Lines,Karachi"
Phone	021-35674881-85
Phone 2	
Fax	021-35680476
Date of Listing	06/06/1987
Email	"ejaz.ahmed@crescent.com.pk, mail@crescent.com.p"
URL	www.crescent.com.pk
Registrar	Corptec Associates (Private) Limited
	
Representative	Mr. Samad Dada
Designation	Chief Executive Officer
Company	Dadex Eternit Limited
Address	"Dadex House 34-A/1, Block-6 , P.E.C.H.S. Shahrah-e-Faisal,Karachi"
Phone	021-34313860-89
Phone 2	021-111-000-789
Fax	021-34315716-34315725
Date of Listing	16/02/1960
Email	info@dadex.com.pk
URL	www.dadex.com
Registrar	M/s. JWAFFS Registrar Services (Pvt.) Limited
	
Representative	Mr. Amir Mahmood
Designation	Chief Executive Officer
Company	Dost Steels Limited
Address	"Room No. 401, 4th Floor, Ibrahim Trade Centre , 1-Aibak Block, Barkat Market, New Garden Town,Lahore"
Phone	042-111-375-000
Phone 2	
Fax	042-35941374
Date of Listing	26/11/2007
Email	ho@doststeels.com
URL	www.doststeels.com
Registrar	THK Associates (Private) Limited
	
Representative	Mr. Hafiz Abdul Majid
Designation	Chief Executive
Company	Huffaz Seamless Pipe Industries Limited
Address	"207-210, 2nd Floor, Mashriq Centre , Gulshan-e-Iqbal, Block -14,Karachi"
Phone	021-34146241-34146242
Phone 2	021-34146243
Fax	021-34146249
Date of Listing	20/05/1986
Email	huffaz@cyber.net.pk
URL	www.huffaz.com.pk
Registrar	THK Associates (Private) Limited
	
Representative	Mr.Sohail R. Bhojani
Designation	Chief Executive Officer
Company	International Industries Limited
Address	"101, Beaumont Plaza , 10, Beaumont Road,Karachi"
Phone	021-35680045-54
Phone 2	021-111-019-019
Fax	021-35680373
Date of Listing	05/05/1984
Email	uzma.amjad@iil.com.pk
URL	www.iil.com.pk
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Yousuf H. Mirza
Designation	Chief Executive Officer
Company	International Steels Limited
Address	"101 Beaumont Plaza , 10 Beaumont Road,Karachi"
Phone	111-019-019
Phone 2	35680045-54
Fax	35680373
Date of Listing	01/06/2011
Email	"info@isl.com.pk, uzma.amjad@isl.com.pk"
URL	www.isl.com.pk
Registrar	THK Associates (Private) Limited
	
Representative	Mr. Shahzad Javed
Designation	Chief Executive Officer
Company	Ittefaq Iron Industries Limited
Address	"40-B-II , Gulberg-III,Lahore"
Phone	042-35765021-26
Phone 2	111-949-411
Fax	042-35759546
Date of Listing	03/07/2017
Email	info@ittefaqsteel.com
URL	www.ittefaqsteel.com
Registrar	Corplink (Pvt) Limited
	
Representative	Mr. Imran Ghani
Designation	MD & Chief Executive Officer
Company	KSB Pumps Company Limited
Address	"16/2, Sir Agha Khan Road , ,Lahore"
Phone	042-36304173-36370969
Phone 2	111-572-786
Fax	042-36368878-36366192
Date of Listing	13/08/1979
Email	info@ksb.com.pk
URL	www.ksb.com.pk
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Muhammad Umar Mehkari
Designation	Chief Executive
Company	Metropolitan Steel Corporation Limited
Address	"Plot No.HE-1/2 , Landhi Industrial Area,Karachi"
Phone	021-35130403-04
Phone 2	
Fax	021-35130402
Date of Listing	15/02/1960
Email	mscl@cyber.net.pk
URL	https://msclwire.com
Registrar	F.D. Registrar Services (SMC-Pvt.) Ltd.
	
Representative	Mr. Khurram Javed
Designation	Chief Executive Officer
Company	Mughal Iron & Steel Industries Limited
Address	"31-A, , Shadman-1,Lahore"
Phone	042-35960841-3
Phone 2	
Fax	042-35960846
Date of Listing	15/04/2015
Email	info@mughalsteel.com
URL	www.mughalsteel.com
Registrar	THK Associates (Private) Limited
	
Representative	Mr. Mairaj Anees Ariff
Designation	Managing Director
Company	Pakistan Engineering Company Limited
Address	"6/7, Ganga Ram Trust Building , Shahrah-e-Quaid-e-Azam,Lahore"
Phone	042-37320225-27
Phone 2	
Fax	042-37323108
Date of Listing	18/06/1955
Email	info@peco.com.pk
URL	www.peco.com.pk
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Mohammed Ziauddin
Designation	Managing Director & Chief Executive
Company	Quality Steel Works Limited
Address	"D/22, S.I.T.E. , Manghopir Road,Karachi"
Phone	021-32572072-6-8
Phone 2	
Fax	021-32572077
Date of Listing	20/06/1970
Email	
URL	
Registrar	
	
Representative	Mr. Nabeel Malik
Designation	Chief Executive Officer
Company	Alfalah Consumer Index Exchange Traded Fund
Address	"8-B, 8th Floor, Executive Tower , Dolmen City, Block-4, Clifton,Karachi"
Phone	021-111090090
Phone 2	
Fax	021-35306752
Date of Listing	17/01/2022
Email	
URL	www.alfalahghp.com
	
Representative	Dr. Amjad Waheed
Designation	Chief Executive Officer
Company	NBP Pakistan Growth Exchange Traded Fund
Address	"7th Floor, Clifton Diamond Building, Block 4 , Scheme No. 5, Clifton,Karachi"
Phone	021-111-111-632
Phone 2	
Fax	021-35825335
Date of Listing	06/10/2020
Email	info@nbpfunds.com
URL	nbpfunds.com
	
Representative	Mr. Arif Habib
Designation	Chief Executive Officer
Company	Arif Habib Corporation Limited
Address	"Arif Habib Centre , 23, M.T. Khan,Karachi"
Phone	021-32460717-19
Phone 2	021-111-468-378
Fax	021-32429653 - 021-32468117
Date of Listing	25/06/2001
Email	ahsl@arifhabib.com.pk
URL	www.arifhabibcorp.com
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Ruhail Muhammad
Designation	Chief Executive Officer
Company	Engro Fertilizers Limited
Address	"7th Floor, The Harbor Front Building , HC-3, Marine Drive. Block-4, Clifton,Karachi"
Phone	021-35297501-35297510
Phone 2	021-111 211 211
Fax	021-35810669
Date of Listing	17/01/2014
Email	info@engrofertilizers.com
URL	www.engrofertilizers.com
Registrar	FAMCO Associates (Pvt) Limited
	
Representative	Mr. Ghias Khan
Designation	President & Chief Executive Officer
Company	Engro Corporation Limited
Address	"8th Floor, The Harbour Front Building , HC # 3,Block-4, Marine Drive, Clifton,Karachi"
Phone	021-35297501-10
Phone 2	021-111-211-211
Fax	021-35810669
Date of Listing	09/08/1968
Email	info@engro.com
URL	www.engro.com
Registrar	FAMCO Associates (Pvt) Limited
	
Representative	Mr. Fawad Ahmed Mukhtar
Designation	Chief Executive Officer
Company	Fatima Fertilizer Company Limited
Address	"E-110, Khayaban-e-Jinnah , Lahore Cantt.,Lahore"
Phone	042-111-328-462
Phone 2	
Fax	042-36621389
Date of Listing	08/03/2010
Email	mail@fatima-group.com
URL	www.fatima-group.com
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Arif ur Rehman
Designation	Chief Executive Officer
Company	Fauji Fertilizer Bin Qasim Limited
Address	"FFBL Tower, C1/C2, Sector B, , Jinnah Boulevard, DHA - II,Islamabad"
Phone	051-8763325
Phone 2	
Fax	051-8763305
Date of Listing	14/05/1996
